Temp_Ambiente,Humedad_Ambiente,Temp_Grano,Tiempo_Restante_Horas
20.6,42.9,23.1,34.6
32.9,79.0,33.8,45.3
40.7,78.6,43.1,35.6
32.7,36.5,36.2,23.8
28.5,76.3,27.4,45.4
34.2,41.4,35.0,24.2
30.1,51.8,34.0,34.0
32.0,72.2,32.7,43.8
40.7,43.0,42.7,21.4
28.5,75.9,30.6,45.8
41.1,76.6,40.4,43.7
39.9,60.4,40.5,29.4
24.3,35.3,24.6,36.3
21.5,49.4,19.7,43.6
22.2,65.8,20.4,44.9
20.4,84.1,24.2,45.9
22.1,66.6,22.0,46.3
35.0,48.0,36.7,32.3
21.6,66.7,21.7,46.7
27.0,62.0,31.6,44.7
38.6,74.0,38.4,35.6
20.5,40.3,21.5,39.1
37.9,73.1,42.0,34.8
26.2,62.1,30.1,42.6
22.6,83.1,21.9,48.0
35.3,52.1,38.9,30.3
33.8,66.6,35.0,32.8
39.3,81.6,40.7,40.9
36.2,40.1,35.1,25.6
37.7,81.9,36.2,43.0
26.2,69.4,29.3,47.0
23.9,38.4,25.4,31.6
36.5,50.0,37.6,32.0
37.8,70.4,40.9,40.5
41.8,38.4,45.1,10.0
29.1,64.1,28.2,43.0
28.2,52.3,30.5,36.2
37.1,66.0,36.0,37.7
27.5,37.3,30.8,29.4
40.5,78.6,43.1,37.4
38.9,83.7,43.6,38.5
29.4,83.4,27.9,46.4
36.5,72.5,34.9,37.6
36.6,41.5,36.6,22.0
22.3,72.9,22.1,48.0
39.9,36.2,39.6,13.3
31.1,36.1,35.5,24.5
38.2,51.2,37.9,31.4
27.0,59.4,26.9,37.5
39.7,73.5,43.0,35.7
28.6,69.2,29.7,46.1
20.2,57.3,23.7,42.1
39.9,48.7,38.4,26.8
22.0,84.9,23.4,48.0
27.0,56.3,25.3,43.5
40.9,57.6,39.3,31.6
40.9,43.2,45.3,18.3
32.6,74.7,31.6,46.4
33.9,69.7,35.6,44.3
29.9,46.0,30.7,36.1
26.5,39.1,26.9,32.9
27.2,69.0,31.5,40.8
34.8,67.7,32.9,38.0
36.6,48.7,39.2,30.0
37.4,82.5,42.2,41.6
37.4,42.6,39.3,27.4
22.0,56.6,26.6,44.3
30.9,82.2,29.2,41.7
21.3,56.0,22.2,47.1
32.1,66.9,31.9,38.4
29.7,54.9,32.8,36.1
39.5,48.7,44.4,25.9
27.7,84.2,27.5,48.0
22.6,55.5,25.2,48.0
23.1,79.7,22.5,48.0
36.8,46.5,38.7,27.0
33.6,45.7,34.8,31.3
22.2,36.6,27.0,34.9
21.9,67.6,24.1,45.5
35.4,53.4,35.9,37.8
21.6,78.2,20.4,48.0
38.1,58.7,37.1,35.6
35.5,83.4,35.1,44.7
21.8,44.3,21.5,41.5
21.9,78.4,25.8,48.0
41.7,73.8,43.6,35.3
28.2,73.5,29.9,42.7
28.2,77.2,27.0,43.0
37.9,73.1,41.9,39.1
40.8,66.3,43.9,36.3
41.7,41.6,40.2,21.8
36.6,36.6,39.5,22.4
28.3,81.0,30.1,45.5
21.8,65.8,20.4,48.0
37.1,74.8,38.3,37.1
32.3,59.1,33.7,36.6
29.3,40.9,28.5,33.5
39.9,41.3,44.6,20.9
22.4,69.3,26.4,45.0
30.8,56.5,33.5,36.9
20.2,45.0,21.5,37.6
30.3,59.6,31.2,38.4
21.2,38.2,23.8,38.5
22.6,64.1,24.4,46.7
22.6,48.4,21.0,43.3
34.3,74.9,35.9,41.3
36.4,50.5,40.1,29.6
32.8,57.8,34.0,35.1
41.2,35.6,39.5,16.5
28.2,38.6,31.8,29.8
26.3,54.6,25.7,42.2
39.1,59.0,38.9,32.2
24.9,65.0,24.1,39.6
41.2,49.6,41.5,29.4
20.3,69.7,23.6,46.1
41.3,78.0,43.0,36.2
20.9,74.0,20.4,48.0
39.6,37.0,43.7,13.7
31.6,59.0,35.8,39.6
41.8,40.2,45.9,17.7
21.6,47.1,21.3,43.5
32.2,84.3,33.3,41.0
41.3,42.1,46.2,21.2
31.5,59.9,34.9,38.4
33.8,65.9,32.0,39.2
35.3,70.1,33.8,40.7
30.0,63.0,31.2,36.1
33.8,35.5,38.2,20.2
32.9,51.3,34.6,31.0
39.8,60.9,41.3,29.9
21.0,39.4,19.7,35.6
26.2,52.5,28.8,41.7
40.9,36.7,44.7,11.5
39.6,38.9,40.2,22.8
30.0,54.8,33.5,35.4
33.6,41.6,38.4,20.8
26.1,63.4,25.5,40.9
24.1,69.5,25.8,48.0
30.2,75.0,30.2,43.5
27.8,45.0,31.3,32.2
32.8,43.4,34.9,29.1
21.7,40.2,24.2,38.3
41.4,66.8,45.0,36.8
41.7,70.3,42.5,39.7
35.4,36.6,39.8,17.7
31.8,81.8,33.5,40.7
26.8,37.6,25.9,31.0
37.9,62.1,40.8,35.2
35.1,70.5,38.6,36.5
23.6,78.5,23.8,45.5
40.0,70.7,44.0,36.9
38.1,75.1,42.4,38.3
40.9,52.0,40.8,28.6
36.0,75.7,40.9,37.7
33.5,39.0,32.5,25.7
29.2,79.7,28.6,43.2
40.5,62.4,39.8,36.5
39.1,75.9,43.3,40.7
21.0,57.6,23.6,39.8
20.6,67.2,19.6,45.7
28.3,61.3,29.4,37.4
37.8,71.6,40.1,36.5
41.7,39.1,40.3,17.9
23.3,38.0,27.5,29.4
33.1,47.4,36.7,28.0
28.4,43.0,29.9,30.3
41.3,78.6,46.1,38.1
38.5,46.0,39.5,26.2
38.4,83.8,43.3,38.5
30.3,51.8,33.0,35.9
29.1,44.1,31.6,31.0
26.0,74.5,25.2,45.6
21.2,67.9,25.4,48.0
39.0,59.9,40.0,36.9
37.9,62.8,37.0,32.9
42.0,71.0,40.1,39.0
41.9,46.4,43.8,25.0
32.2,84.8,33.9,41.5
36.9,83.7,40.0,43.6
40.8,67.5,45.0,38.3
38.7,45.0,37.2,23.5
25.4,69.0,28.6,41.9
29.9,38.6,29.2,32.0
22.8,36.5,26.8,33.2
41.0,47.9,44.7,25.4
33.3,58.1,35.1,37.2
25.0,78.4,28.0,47.4
34.8,71.4,35.0,37.1
33.6,72.1,34.9,43.6
27.9,56.3,31.6,41.6
22.5,52.3,23.7,41.7
34.8,53.6,35.3,33.7
31.4,84.4,32.9,40.9
37.0,37.0,40.8,19.0
31.4,78.4,31.8,45.3
38.7,63.9,38.0,35.9
32.1,56.9,35.1,39.0
32.3,71.3,36.1,39.8
39.3,59.3,38.0,35.4
28.9,78.7,28.6,42.9
22.9,80.0,21.9,48.0
20.6,56.1,21.1,44.7
36.6,48.8,37.8,30.0
33.6,64.6,36.9,37.1
35.5,80.6,38.0,41.3
24.7,45.5,27.0,39.2
23.0,66.1,23.5,44.8
20.3,66.6,24.2,42.5
27.7,71.7,29.0,48.0
33.0,41.6,37.8,29.1
28.6,70.8,31.1,39.8
29.6,80.5,28.5,47.3
39.9,44.0,42.6,21.1
27.7,46.9,27.9,36.9
31.3,83.6,34.1,45.0
37.2,44.0,35.7,26.4
28.7,77.7,27.9,43.5
33.7,59.6,37.7,34.2
39.0,47.4,38.6,25.0
40.9,78.5,44.7,36.0
23.2,57.3,23.2,43.6
40.4,60.7,42.9,30.7
30.8,53.0,33.7,37.2
25.7,64.6,27.3,47.3
30.1,43.2,30.2,30.6
41.6,54.6,41.0,30.3
30.8,83.5,29.1,46.9
27.2,47.9,27.4,38.4
33.9,67.8,36.5,39.3
25.3,51.3,29.9,40.1
21.7,73.7,25.8,48.0
22.8,41.5,26.2,33.1
22.8,83.5,26.3,48.0
23.3,57.7,26.0,45.0
23.1,46.8,22.9,38.5
34.1,38.7,38.4,22.3
24.0,43.5,26.7,38.2
27.6,61.0,29.5,40.7
39.7,51.9,38.5,32.6
30.4,76.4,31.6,48.0
34.7,56.5,35.9,33.0
23.8,47.4,27.8,34.6
24.2,65.9,26.1,45.4
20.9,70.3,21.6,48.0
23.7,43.4,28.6,35.0
26.1,43.4,24.9,40.2
23.9,36.8,24.9,30.1
22.0,71.8,20.2,48.0
22.7,68.2,25.8,44.1
30.1,58.7,34.6,42.1
24.5,77.2,24.5,48.0
28.0,75.3,32.0,42.0
31.1,64.3,31.1,39.3
35.2,78.4,39.6,42.9
20.9,45.3,24.1,39.0
37.6,40.6,41.2,20.8
33.8,48.5,31.9,33.0
21.8,37.9,26.5,29.3
39.2,61.6,42.3,33.4
40.3,81.8,40.4,38.6
21.3,37.0,25.1,33.4
26.1,41.1,26.1,38.2
37.7,57.6,41.8,29.1
36.5,81.7,35.2,44.5
24.1,50.8,27.0,39.1
24.6,60.4,26.4,42.3
28.2,37.1,26.8,32.4
30.7,42.4,30.4,32.1
33.6,84.3,31.7,46.0
28.1,83.3,29.4,48.0
30.2,35.2,30.3,24.9
36.4,82.6,38.6,40.2
20.8,67.0,20.9,44.8
25.6,78.4,25.7,44.9
35.7,57.7,38.9,41.4
39.7,60.8,38.0,37.6
31.3,59.4,35.6,34.0
31.7,68.3,35.7,36.8
22.4,42.0,25.0,38.5
29.8,36.5,32.0,27.3
31.7,50.4,36.0,34.3
25.3,70.2,24.6,45.2
25.9,45.1,24.5,37.4
28.3,68.7,28.0,44.4
20.4,83.5,24.0,48.0
27.1,39.7,25.3,28.2
24.7,68.6,26.7,44.4
27.2,57.2,32.2,36.9
22.6,78.4,26.6,47.7
39.6,43.9,41.2,30.5
33.1,69.6,31.5,42.4
34.9,76.9,38.8,39.9
37.4,82.2,39.6,43.5
31.0,69.2,29.8,43.7
21.9,59.9,20.6,46.9
31.8,65.9,36.2,40.7
32.9,78.4,35.6,47.6
36.4,63.5,40.2,32.9
29.5,36.5,33.6,26.3
22.8,81.5,24.8,45.9
26.2,69.5,27.9,45.8
28.0,68.8,29.0,41.1
34.2,45.8,34.4,29.0
32.6,67.9,33.6,39.8
27.8,54.7,31.3,40.7
41.7,67.6,43.9,36.9
33.3,40.3,37.6,21.5
25.2,67.9,26.3,44.9
22.2,85.0,24.5,47.2
23.4,37.4,25.8,30.4
25.4,83.9,27.6,46.8
23.5,55.3,26.5,41.0
24.1,78.5,23.8,48.0
26.3,74.1,27.9,46.4
23.8,63.4,22.5,42.0
39.7,71.9,40.4,36.3
21.8,78.9,23.2,48.0
31.5,55.2,34.1,41.3
29.0,51.4,33.7,31.4
41.6,68.4,43.8,30.2
22.5,75.4,25.7,48.0
28.8,73.1,30.3,44.8
41.3,74.9,43.8,35.0
39.0,56.8,37.5,34.4
38.0,75.9,37.8,33.5
25.7,41.0,26.2,34.7
23.8,62.2,25.1,45.1
34.7,35.3,33.0,24.0
40.4,51.2,39.4,26.3
32.2,53.3,32.2,36.0
32.6,54.8,37.4,31.9
26.2,69.8,26.5,45.5
36.9,54.4,38.3,30.1
24.1,57.4,23.5,42.4
27.1,46.9,29.4,33.3
29.4,53.7,29.3,39.8
31.2,46.4,30.6,35.5
25.3,38.7,26.9,32.3
22.5,65.2,20.6,46.9
33.4,68.4,31.5,37.5
26.3,66.0,25.9,43.4
32.8,58.2,31.0,38.0
23.4,54.0,22.2,48.0
30.6,78.2,31.0,41.5
31.7,61.0,35.3,41.5
21.1,59.0,23.1,47.4
27.4,36.3,29.0,29.5
23.0,52.1,23.0,46.7
21.4,54.0,25.9,43.2
41.8,54.9,42.6,30.2
27.1,64.0,25.7,43.4
37.8,61.7,40.1,37.7
25.6,65.4,24.4,47.5
35.0,73.2,35.4,39.2
36.7,75.6,38.3,36.8
33.1,70.9,37.2,39.5
30.4,82.8,31.8,42.9
29.1,35.9,32.0,25.6
27.7,44.8,32.6,35.9
40.4,35.4,39.4,13.8
38.3,67.4,38.2,37.2
41.2,79.9,42.0,39.3
22.7,47.2,23.7,42.4
36.1,81.4,37.0,36.4
40.6,38.0,45.0,13.1
24.0,81.7,27.0,48.0
21.5,52.6,23.7,45.7
36.3,40.1,36.5,22.4
32.6,59.3,36.4,31.9
38.5,47.8,43.2,27.1
23.1,49.2,26.8,38.0
37.5,50.4,35.5,28.1
24.4,75.2,26.9,44.7
23.6,62.0,22.0,44.9
23.6,50.6,23.4,39.9
37.9,65.5,36.3,31.9
34.6,70.8,36.9,42.0
31.5,48.6,34.3,36.0
27.9,55.7,26.7,42.1
39.3,41.1,40.0,18.5
28.6,44.1,29.8,32.9
38.0,69.1,38.5,37.8
29.7,44.1,28.5,35.2
28.3,61.3,29.2,42.9
30.2,70.5,33.4,40.0
26.6,40.3,25.1,34.6
36.4,63.4,35.0,38.6
31.1,47.8,31.5,37.4
25.1,83.1,29.7,48.0
39.8,59.2,42.5,34.1
28.4,75.3,31.2,44.3
32.0,62.5,32.5,42.9
39.9,37.2,42.1,16.7
33.7,66.7,31.8,38.3
22.6,82.6,25.0,48.0
40.7,65.1,45.1,35.2
33.8,76.0,36.1,40.4
27.4,79.2,31.5,43.8
23.1,46.4,26.1,39.4
37.5,45.6,36.3,28.9
33.6,65.5,38.0,38.5
31.7,55.6,30.2,38.5
39.7,77.0,41.4,43.1
37.3,80.0,36.3,44.3
23.3,52.7,21.4,43.6
26.9,46.8,27.8,39.0
25.5,74.0,25.5,43.6
36.4,48.7,37.8,30.5
20.7,76.1,22.8,48.0
32.5,56.2,30.8,37.0
36.8,68.4,35.6,36.7
39.3,39.8,41.2,17.8
27.5,66.2,27.9,40.5
38.1,57.6,41.2,30.4
22.4,64.3,25.0,44.2
38.6,43.4,42.5,18.9
22.8,71.8,25.7,46.5
28.7,78.1,29.7,47.3
37.5,45.8,40.3,23.6
23.3,39.8,23.2,40.4
25.0,36.2,25.2,33.5
35.9,67.1,39.4,40.0
35.8,65.4,37.0,36.0
34.1,62.3,37.7,39.0
35.3,46.6,39.0,25.2
31.9,54.5,35.9,37.2
25.5,64.7,30.0,43.1
27.6,59.8,28.6,42.5
24.0,84.4,24.2,45.6
40.0,41.8,42.1,18.4
32.8,69.8,33.4,42.5
28.8,55.2,31.0,35.9
30.2,56.4,33.1,38.6
40.8,70.9,43.7,32.6
23.4,69.6,24.0,48.0
32.9,84.6,32.1,41.6
31.1,41.4,32.1,30.8
33.5,40.2,32.5,28.8
20.4,71.2,24.6,45.5
39.2,63.9,39.6,36.8
40.5,48.7,39.6,27.8
32.4,39.0,30.6,26.4
35.3,39.3,37.8,20.1
40.3,79.7,42.8,34.2
